CH,21347.536,3764729.436,3.326
CH,21347.562,3764729.866,3.142
CH,21347.567,3764730.296,2.956
CH,21347.550,3764730.721,2.763
CH,21347.392,3764733.030,1.676
CH,21040.559,3764703.681,1.873
CH,21040.606,3764703.671,1.521
CH,21041.526,3764703.732,1.557
CH,21041.111,3764703.226,1.864
CH,21041.105,3764703.256,1.568
CH,21041.597,3764704.258,1.907
CH,21041.021,3764704.513,1.976
CH,21041.071,3764704.497,1.836
CH,21041.311,3764704.457,1.839
CH,21041.388,3764704.446,1.980
CH,21049.223,3764733.753,0.996
CH,21049.740,3764734.039,1.014
CH,21050.292,3764733.592,1.002
CH,21049.177,3764733.803,1.579
CH,21049.704,3764734.085,1.575
CH,21050.330,3764733.589,1.584
CH,21049.516,3764732.921,1.638
CH,21049.551,3764732.915,1.474
CH,21049.771,3764732.853,1.501
CH,21049.869,3764732.919,1.636
CH,20954.550,3764732.221,1.762
CH,20954.615,3764732.183,1.364
CH,20955.805,3764732.117,1.782
CH,20955.809,3764732.143,1.372
CH,20955.293,3764732.771,1.339
CH,20955.180,3764732.832,1.773
CH,20955.032,3764731.461,1.827
CH,20955.162,3764731.537,1.689
CH,20955.305,3764731.624,1.701
CH,20999.462,3764732.247,1.234
CH,20999.552,3764732.187,1.718
CH,20999.023,3764732.646,1.370
CH,20999.050,3764732.680,1.697
CH,20999.107,3764731.440,1.795
CH,20998.728,3764731.461,1.801
CH,20998.831,3764731.402,1.662
CH,20999.040,3764731.399,1.659
CH,20990.082,3764702.888,1.963
CH,20990.496,3764702.453,1.958
CH,20991.360,3764703.114,1.912
CH,20990.107,3764702.912,1.661
CH,20990.508,3764702.492,1.621
CH,20991.277,3764703.101,1.638
CH,20990.499,3764703.659,2.012
CH,20990.558,3764703.683,1.855
CH,20990.784,3764703.681,1.853
CH,20990.833,3764703.639,1.975
CH,21092.904,3764703.157,1.676
CH,21093.464,3764703.645,1.707
CH,21092.214,3764703.622,2.192
CH,21092.254,3764703.623,1.710
CH,21092.703,3764704.398,2.280
CH,21092.753,3764704.409,2.124
CH,21092.973,3764704.395,2.121
CH,21093.040,3764704.372,2.269
CH,21149.222,3764732.058,1.649
CH,21149.283,3764732.064,1.473
CH,21149.494,3764732.077,1.471
CH,21149.577,3764732.124,1.629
CH,21144.252,3764702.578,1.548
CH,21144.099,3764706.478,2.446
CH,21144.079,3764707.216,2.616
CH,21144.073,3764707.956,2.784
CH,21144.076,3764708.696,2.948
CH,21144.084,3764709.435,3.107
CH,21199.238,3764732.732,1.495
CH,21199.268,3764732.720,1.334
CH,21199.489,3764732.658,1.332
CH,21199.557,3764732.698,1.476
CH,21195.111,3764705.559,1.879
CH,21195.013,3764705.608,1.738
CH,21194.855,3764705.629,1.737
CH,21194.789,3764705.526,1.889
CH,21245.151,3764706.655,2.084
CH,21244.788,3764706.732,2.086
CH,21244.875,3764706.753,1.932
CH,21245.095,3764706.730,1.933
CH,21248.520,3764732.735,1.663
CH,21248.586,3764732.687,1.511
CH,21248.790,3764732.669,1.524
CH,21248.893,3764732.720,1.666
CH,21347.964,3764729.017,3.279
CH,21347.932,3764729.457,3.099
CH,21347.902,3764729.904,2.927
CH,21347.875,3764730.350,2.751
CH,21347.852,3764730.788,2.556
CH,21347.747,3764732.951,1.514
CH,21393.404,3764710.948,3.775
CH,21393.552,3764705.969,1.813
CH,21393.586,3764705.984,1.651
CH,21393.513,3764710.825,3.568
CH,21397.753,3764734.041,1.513
CH,21397.605,3764731.849,2.552
CH,21397.715,3764729.501,3.639
CH,21397.318,3764731.927,2.543
CH,21397.423,3764734.120,1.502
CH,21397.511,3764734.022,1.354
CH,21397.372,3764731.764,2.398
CH,21397.253,3764729.129,3.556
CH,21446.918,3764732.117,2.712
CH,21447.032,3764734.894,1.494
CH,21447.122,3764734.933,1.317
CH,21446.966,3764732.038,2.579
