201389,-3762797.786,-44449.167,198.449,kT
201533,-3762786.848,-44445.921,198.38,kT
201392,-3762810.839,-44445.772,198.158,kT
201355,-3762823.709,-44445.32,197.692,kT
201391,-3762808.35,-44442.368,198.184,kT
201532,-3762794.434,-44441.115,198.185,kT
201394,-3762817.962,-44439.053,197.913,kT
201354,-3762831.967,-44437.542,197.384,kT
201393,-3762816.088,-44437.39,198.002,kT
201531,-3762802.89,-44435.757,197.973,kT
201395,-3762822.181,-44433.257,197.82,kT
201353,-3762837.69,-44431.777,197.19,kT
201396,-3762826.1,-44431.391,197.617,kT
201530,-3762811.409,-44430.425,197.739,kT
201352,-3762839.252,-44430.353,197.144,kT
201343,-3762880.344,-44429.606,196.829,kT
201397,-3762826.665,-44429.56,197.657,kT
201529,-3762814.817,-44428.214,197.642,kT
201398,-3762830.708,-44425.546,197.499,kT
201344,-3762877.13,-44424.84,196.681,kT
201528,-3762819.305,-44424.715,197.5,kT
201399,-3762833.83,-44424.267,197.324,kT
201351,-3762849.411,-44423.569,196.784,kT
201345,-3762873.452,-44422.045,196.609,kT
201401,-3762836.387,-44421.894,197.236,kT
201350,-3762853.844,-44421.858,196.758,kT
201349,-3762857.693,-44420.793,196.694,kT
201400,-3762834.812,-44420.721,197.323,kT
201346,-3762870.707,-44420.593,196.614,kT
201527,-3762824.257,-44419.665,197.316,kT
201347,-3762866.633,-44419.548,196.586,kT
201402,-3762839.155,-44419.478,197.154,kT
201348,-3762862.927,-44419.468,196.615,kT
201526,-3762824.89,-44419.046,197.339,kT
201403,-3762837.013,-44417.613,197.216,kT
201525,-3762826.204,-44417.452,197.263,kT
201404,-3762842.162,-44417.125,197.014,kT
201409,-3762843.948,-44415.842,196.975,kT
201406,-3762840.698,-44415.657,197.047,kT
201411,-3762845.785,-44414.593,196.933,kT
201405,-3762839.14,-44414.257,197.071,kT
201407,-3762841.883,-44414.118,197.002,kT
201413,-3762848.253,-44412.99,196.869,kT
201408,-3762840.075,-44412.475,197.02,kT
201416,-3762848.792,-44412.111,196.855,kT
201342,-3762887.919,-44411.74,196.095,kT
201524,-3762829.98,-44411.495,197.041,kT
201417,-3762848.35,-44411.132,196.864,kT
201418,-3762847.537,-44410.506,196.874,kT
201410,-3762841.584,-44409.484,196.938,kT
201419,-3762846.126,-44409.397,196.899,kT
201421,-3762845.619,-44408.904,196.893,kT
201341,-3762885.789,-44408.602,196.028,kT
201442,-3762858.209,-44408.161,196.557,kT
201441,-3762862.569,-44407.908,196.398,kT
201420,-3762844.541,-44407.743,196.868,kT
201523,-3762832.056,-44406.776,196.884,kT
201412,-3762842.923,-44406.506,196.837,kT
201440,-3762866.217,-44406.466,196.269,kT
201415,-3762843.61,-44406.427,196.843,kT
201414,-3762843.28,-44406.317,196.848,kT
201461,-3762857.768,-44405.242,196.695,kT
201460,-3762862.076,-44405.116,196.587,kT
201423,-3762850.221,-44404.385,196.708,kT
201522,-3762833.055,-44404.006,196.791,kT
201340,-3762884.065,-44403.946,195.927,kT
201462,-3762854.128,-44403.915,196.757,kT
201459,-3762865.263,-44403.832,196.456,kT
201443,-3762853.813,-44403.681,196.78,kT
201439,-3762869.741,-44403.52,196.124,kT
201424,-3762848.831,-44402.683,196.711,kT
201444,-3762851.641,-44401.753,196.754,kT
201458,-3762867.923,-44401.185,196.329,kT
201339,-3762883.652,-44401.007,195.877,kT
201438,-3762871.738,-44400.29,196.043,kT
201445,-3762850.025,-44399.075,196.709,kT
201457,-3762869.35,-44398.571,196.27,kT
201521,-3762834.602,-44398.55,196.595,kT
201425,-3762846.764,-44397.941,196.55,kT
201446,-3762849.289,-44396.257,196.622,kT
201437,-3762872.726,-44395.705,196.002,kT
201520,-3762834.432,-44394.683,196.459,kT
201456,-3762869.94,-44394.448,196.249,kT
201426,-3762846.45,-44394.317,196.421,kT
201338,-3762884.888,-44394.094,195.707,kT
201447,-3762849.341,-44393.358,196.526,kT
201436,-3762872.551,-44392.567,195.992,kT
201455,-3762869.513,-44392.08,196.23,kT
201519,-3762833.848,-44391.866,196.376,kT
201448,-3762850.406,-44390.298,196.406,kT
201427,-3762847.613,-44389.646,196.246,kT
201454,-3762867.992,-44389.018,196.201,kT
201435,-3762871.233,-44388.861,195.992,kT
201449,-3762852.4,-44387.643,196.323,kT
201518,-3762832.483,-44387.494,196.218,kT
201453,-3762866.175,-44387.035,196.199,kT
201337,-3762886.756,-44386.841,195.558,kT
201428,-3762849.807,-44386.293,196.089,kT
201434,-3762869.175,-44386.122,195.979,kT
201450,-3762855.364,-44385.667,196.268,kT
201452,-3762862.75,-44385.247,196.181,kT
201466,-3762876.818,-44384.986,195.8,kT
201451,-3762859.167,-44384.739,196.204,kT
201464,-3762876.247,-44384.73,195.84,kT
201468,-3762877.284,-44384.68,195.751,kT
201472,-3762877.414,-44384.324,195.771,kT
201433,-3762865.772,-44383.453,195.95,kT
201429,-3762853.337,-44383.45,195.995,kT
201432,-3762863.784,-44382.587,195.947,kT
201517,-3762830.252,-44382.393,195.93,kT
201430,-3762856.796,-44382.204,195.955,kT
201431,-3762860.607,-44381.926,195.948,kT
201474,-3762878.872,-44381.691,195.699,kT
201463,-3762873.796,-44381.618,195.849,kT
201465,-3762871.411,-44379.459,195.827,kT
201476,-3762880.473,-44378.97,195.626,kT
201336,-3762890.352,-44378.863,195.339,kT
201467,-3762870.95,-44378.711,195.783,kT
201516,-3762827.821,-44378.057,195.656,kT
201469,-3762871.038,-44378.051,195.762,kT
201470,-3762871.404,-44377.579,195.733,kT
201471,-3762871.637,-44377.46,195.725,kT
201477,-3762878.99,-44377.362,195.633,kT
